guid,category,time,event,first_seen,last_seen,title,link
https://news.web.nhk/newsweb/na/nd-20260813de43586,社会,4080,1,1787148960,1787149440,半蔵門線ホームでアスベスト 国交省が全国鉄道会社に点検要請,https://news.web.nhk/newsweb/na/nd-20260813de43586
https://news.web.nhk/newsweb/na/nd-20260813de43587,スポーツ,4080,1,1787148960,1787149440,ドジャース 大谷翔平 6試合ぶり27号逆転ツーランで勝利に貢献,https://news.web.nhk/newsweb/na/nd-20260813de43587
https://news.web.nhk/newsweb/na/nd-20260813de43590,社会,4080,1,1787148960,1787149440,千葉 九十九里町の海水浴場 遊泳中の男性流され死亡　,https://news.web.nhk/newsweb/na/nd-20260813de43590
https://news.web.nhk/newsweb/na/nd-20260813de43592,国際,4080,1,1787148960,1787149440,ホルムズ海峡の通航“5月以降で最低水準に近づく”米メディア,https://news.web.nhk/newsweb/na/nd-20260813de43592
https://news.web.nhk/newsweb/na/nd-20260813de43600,スポーツ,4080,1,1787148960,1787149440,カブス 鈴木誠也 2安打2打点2得点 チームは3連勝,https://news.web.nhk/newsweb/na/nd-20260813de43600
https://news.web.nhk/newsweb/na/nd-20260813de43611,スポーツ,4080,1,1787148960,1787149440,ブルージェイズ 岡本 3試合ぶり出場 勝ち越しタイムリーヒット,https://news.web.nhk/newsweb/na/nd-20260813de43611
https://news.web.nhk/newsweb/na/nd-20260813de43615,スポーツ,4080,1,1787148960,1787149440,高校野球 熊本の有明が長崎日大高に競り勝ち3回戦進出,https://news.web.nhk/newsweb/na/nd-20260813de43615
https://news.web.nhk/newsweb/na/nd-20260813de43623,社会,4080,1,1787148960,1787149440,熊本地震 どうする？災害廃棄物 【専門家Q＆A】,https://news.web.nhk/newsweb/na/nd-20260813de43623
https://news.web.nhk/newsweb/na/nd-20260813de43624,スポーツ,4080,1,1787148960,1787149440,ホワイトソックス村上 連続試合安打ストップもチーム完封勝ち,https://news.web.nhk/newsweb/na/nd-20260813de43624
https://news.web.nhk/newsweb/na/nd-20260813de43635,スポーツ,92040,1,1787148960,1787237400,高校野球 東日大昌平 照沼投手の力投で青森山田に勝利 3回戦へ,https://news.web.nhk/newsweb/na/nd-20260813de43635
https://news.web.nhk/newsweb/na/nd-20260813de43639,社会,4080,1,1787148960,1787149440,熊本地震で新幹線や九州道一部不通 お盆の帰省で空の便利用も,https://news.web.nhk/newsweb/na/nd-20260813de43639
https://news.web.nhk/newsweb/na/nd-20260813de43641,社会,4080,1,1787148960,1787149440,秋篠宮さま パラグアイ訪問前記者会見で改正皇室典範にも言及,https://news.web.nhk/newsweb/na/nd-20260813de43641
https://news.web.nhk/newsweb/na/nd-20260813de43650,社会,4080,1,1787148960,1787149440,睡眠薬入りの酒で現金など奪った疑い逮捕 容疑否認,https://news.web.nhk/newsweb/na/nd-20260813de43650
https://news.web.nhk/newsweb/na/nd-20260813de43653,社会,4080,1,1787148960,1787149440,長野 東御 親子3人殺傷 父親を再逮捕 母親から依頼受け殺害か,https://news.web.nhk/newsweb/na/nd-20260813de43653
https://news.web.nhk/newsweb/na/nd-20260813de43656,社会,4080,1,1787148960,1787149440,【解除】東京 野川 仙川 善福寺川のレベル４氾濫危険警報解除,https://news.web.nhk/newsweb/na/nd-20260813de43656
https://news.web.nhk/newsweb/na/nd-20260813de43666,経済,4080,1,1787148960,1787149440,東京ガスの子会社 顧客情報約2万件が入ったパソコン紛失,https://news.web.nhk/newsweb/na/nd-20260813de43666
https://news.web.nhk/newsweb/na/nd-20260813de43675,国際,92040,1,1787148960,1787237400,ヨーロッパ各地で熱波続く パリでは40度近くまで上がる見込み,https://news.web.nhk/newsweb/na/nd-20260813de43675
https://news.web.nhk/newsweb/na/nd-20260813de43676,科学・文化,4080,1,1787148960,1787149440,火星衛星探査機「MMX」公開 秋にも打ち上げへ,https://news.web.nhk/newsweb/na/nd-20260813de43676
https://news.web.nhk/newsweb/na/nd-20260813de43678,社会,4080,1,1787148960,1787149440,九州自動車道 あす朝から全線で通行可能に 地震から17日ぶり,https://news.web.nhk/newsweb/na/nd-20260813de43678
https://news.web.nhk/newsweb/na/nd-20260813de43682,社会,4080,1,1787148960,1787149440,上皇ご夫妻 ことしは軽井沢での静養を見送り,https://news.web.nhk/newsweb/na/nd-20260813de43682
https://news.web.nhk/newsweb/na/nd-20260813de43689,国際,4080,1,1787148960,1787149440,高市首相「断じて許容できず」プーチン大統領の北方領土訪問に,https://news.web.nhk/newsweb/na/nd-20260813de43689
